botid, date, time, press, chl, 
#, mmddyy, hhmmss, dbar, ug/l, 
0970200405, 092898, 104443,  124.9,   0.22,
0970200404, 092898, 104323,  151.0,   0.10,
0970200403, 092898, 104158,  177.4,   0.03,
0970201117, 092998, 075448,   25.5,   0.05,
0970201115, 092998, 075318,   45.5,   0.06,
0970201113, 092998, 075132,   75.4,   0.13,
0970201111, 092998, 074957,  100.5,   0.20,
0970201109, 092998, 074847,  110.6,   0.20,
0970201107, 092998, 074722,  125.6,   0.24,
0970201105, 092998, 074547,  150.7,   0.12,
0970201103, 092998, 074412,  175.7,   0.03,
0970210008, 092898, -00009,    5.0,   0.06,
0970210007, 092898, -00009,   25.0,   0.06,
0970210006, 092898, -00009,   45.0,   0.05,
0970210005, 092898, -00009,   75.0,   0.13,
0970210004, 092898, -00009,  100.0,   0.19,
0970210003, 092898, -00009,  125.0,   0.21,
0970210002, 092898, -00009,  150.0,   0.07,
0970210001, 092898, -00009,  175.0,   0.05,
0980200621, 101998, 080310,   14.9,   0.06,
0980200619, 101998, 080152,   25.4,   0.06,
0980200618, 101998, 080055,   35.0,   0.06,
0980200617, 101998, 075950,   45.1,   0.06,
0980200616, 101998, 075850,   60.1,   0.14,
0980200615, 101998, 075741,   74.8,   0.21,
0980200614, 101998, 075640,   85.8,   0.23,
0980200613, 101998, 075545,   95.4,   0.23,
0980200612, 101998, 075440,  105.2,   0.23,
0980200611, 101998, 075330,  115.0,   0.19,
0980200610, 101998, 075220,  125.7,   0.17,
0980200609, 101998, 075120,  134.9,   0.15,
0980200608, 101998, 075020,  149.9,   0.10,
0980200606, 101998, 074810,  175.2,   0.08,
0980200712, 101998, 105751,    5.7,   0.07,
0980200711, 101998, 105634,   25.1,   0.07,
0980200710, 101998, 105522,   45.5,   0.07,
0980200709, 101998, 105351,   75.4,   0.18,
0980200707, 101998, 105121,  125.4,   0.21,
0980200706, 101998, 105003,  150.0,   0.10,
0980200705, 101998, 104730,  175.3,   0.07,
0980201420, 102098, 075752,    5.2,   0.06,
0980201417, 102098, 075602,   25.0,   0.07,
0980201415, 102098, 075354,   45.7,   0.06,
0980201413, 102098, 075211,   75.4,   0.14,
0980201411, 102098, 075041,  100.9,   0.23,
0980201409, 102098, 074916,  114.9,   0.21,
0980201407, 102098, 074801,  125.4,   0.23,
0980201406, 102098, 074641,  150.3,   0.10,
0980201405, 102098, 074631,  150.2,   0.12,
0980201403, 102098, 074455,  175.3,   0.07,
0980210008, 101998, -00009,    5.0,   0.08,
0980210007, 101998, -00009,   25.0,   0.07,
0980210006, 101998, -00009,   45.0,   0.07,
0980210005, 101998, -00009,   75.0,   0.18,
0980210004, 101998, -00009,  100.0,   0.23,
0980210003, 101998, -00009,  125.0,   0.18,
0980210002, 101998, -00009,  150.0,   0.12,
0980210001, 101998, -00009,  175.0,   0.10,
0990200622, 111198, 070340,    5.5,   0.09,
0990200621, 111198, 070233,   15.6,   0.09,
0990200619, 111198, 070118,   25.7,   0.09,
0990200618, 111198, 070011,   35.6,   0.09,
0990200617, 111198, 065903,   45.7,   0.11,
0990200616, 111198, 065742,   60.4,   0.14,
0990200615, 111198, 065622,   75.7,   0.23,
0990200614, 111198, 065507,   85.6,   0.25,
0990200613, 111198, 065358,   95.5,   0.21,
0990200612, 111198, 065246,  105.3,   0.17,
0990200611, 111198, 065136,  115.5,   0.14,
0990200610, 111198, 065025,  125.5,   0.11,
0990200609, 111198, 064916,  135.4,   0.07,
0990200608, 111198, 064758,  150.7,   0.05,
0990200606, 111198, 064526,  175.4,   0.03,
0990200810, 111198, 125241,    5.0,   0.09,
0990200809, 111198, 125045,   24.6,   0.09,
0990200808, 111198, 124930,   43.9,   0.09,
0990200807, 111198, 124745,   75.2,   0.19,
0990200806, 111198, 124615,  100.2,   0.21,
0990200805, 111198, 124448,  125.1,   0.09,
0990200804, 111198, 124320,  149.7,   0.05,
0990200803, 111198, 124147,  175.4,   0.02,
0990201418, 111298, 065641,    5.5,   0.08,
0990201416, 111298, 065456,   25.6,   0.09,
0990201415, 111298, 065446,   25.6,   0.08,
0990201413, 111298, 065257,   45.9,   0.12,
0990201411, 111298, 065059,   75.7,   0.24,
0990201410, 111298, 064917,  100.7,   0.20,
0990201407, 111298, 064708,  125.3,   0.08,
0990201405, 111298, 064520,  148.5,   0.04,
0990201403, 111298, 064316,  176.5,   0.02,
0990210008, 111198, -00009,    5.0,   0.09,
0990210007, 111198, -00009,   25.0,   0.09,
0990210006, 111198, -00009,   45.0,   0.09,
0990210005, 111198, -00009,   75.0,   0.21,
0990210004, 111198, -00009,  100.0,   0.14,
0990210003, 111198, -00009,  125.0,   0.09,
0990210002, 111198, -00009,  150.0,   0.04,
1000200621, 120998, 090051,   15.7,   0.12,
1000200619, 120998, 085942,   25.7,   0.13,
1000200618, 120998, 085842,   30.2,   0.12,
1000200617, 120998, 085727,   45.8,   0.12,
1000200616, 120998, 085616,   60.0,   0.13,
1000200615, 120998, 085456,   75.6,   0.17,
1000200614, 120998, 085336,   85.6,   0.18,
1000200613, 120998, 085232,   95.8,   0.18,
1000200612, 120998, 085126,  105.6,   0.17,
1000200611, 120998, 085022,  115.0,   0.18,
1000200610, 120998, 084917,  126.3,   0.12,
1000200609, 120998, 084807,  136.7,   0.08,
1000200608, 120998, 084642,  150.9,   0.05,
1000200606, 120998, 084426,  175.5,   0.02,
1000200711, 120998, 114932,    5.2,   0.12,
1000200710, 120998, 114817,   25.5,   0.11,
1000200709, 120998, 114707,   46.6,   0.11,
1000200708, 120998, 114547,   74.9,   0.13,
1000200707, 120998, 114428,  100.1,   0.16,
1000200706, 120998, 114312,  126.5,   0.17,
1000200705, 120998, 114157,  150.9,   0.07,
1000200704, 120998, 114032,  175.2,   0.03,
1000200924, 120998, 180011,    5.3,   0.14,
1000200922, 120998, 175856,   25.5,   0.13,
1000200920, 120998, 175746,   45.5,   0.13,
1000200918, 120998, 175556,   76.1,   0.13,
1000200916, 120998, 175426,  101.3,   0.14,
1000200914, 120998, 175256,  123.8,   0.11,
1000200912, 120998, 175116,  149.8,   0.06,
1000200910, 120998, 174936,  174.7,   0.02,
1000201213, 121598, 064204,    6.0,   0.12,
1000201211, 121598, 063933,   26.1,   0.11,
1000201210, 121598, 063800,   46.0,   0.12,
1000201209, 121598, 063611,   75.8,   0.14,
1000201208, 121598, 063425,  100.4,   0.16,
1000201206, 121598, 063143,  125.4,   0.12,
1000201204, 121598, 062811,  176.8,   0.01,
1000210008, 120998, -00009,    5.0,   0.10,
1000210007, 120998, -00009,   25.0,   0.10,
1000210006, 120998, -00009,   45.0,   0.10,
1000210005, 120998, -00009,   75.0,   0.14,
1000210004, 120998, -00009,  100.0,   0.12,
1000210003, 120998, -00009,  125.0,   0.09,
1010200622, 011399, 095757,    5.2,   0.14,
1010200621, 011399, 095657,   15.0,   0.14,
1010200619, 011399, 095552,   24.9,   0.14,
1010200618, 011399, 095452,   35.8,   0.14,
1010200617, 011399, 095352,   44.9,   0.14,
1010200616, 011399, 095252,   59.5,   0.14,
1010200615, 011399, 095132,   74.6,   0.14,
1010200614, 011399, 095033,   84.8,   0.16,
1010200612, 011399, 094832,  105.4,   0.16,
1010200611, 011399, 094732,  114.4,   0.14,
1010200609, 011399, 094532,  133.6,   0.08,
1010200608, 011399, 094432,  150.0,   0.07,
1010200606, 011399, 094232,  175.6,   0.02,
1010200604, 011399, 094032,  199.7,   0.03,
1010200721, 011399, 130114,    4.4,   0.14,
1010200720, 011399, 125947,   25.7,   0.14,
1010200718, 011399, 125757,   46.2,   0.14,
1010200716, 011399, 125547,   75.9,   0.14,
1010200714, 011399, 125407,  100.6,   0.14,
1010200712, 011399, 125147,  125.4,   0.09,
1010200710, 011399, 124912,  150.2,   0.05,
1010200709, 011399, 124742,  175.6,   0.02,
1010201418, 011499, 094846,    5.6,   0.09,
1010201415, 011499, 094721,   26.2,   0.10,
1010201413, 011499, 094601,   46.7,   0.15,
1010201411, 011499, 094435,   74.6,   0.14,
1010201410, 011499, 094321,  100.4,   0.15,
1010201407, 011499, 094151,  122.0,   0.17,
1010201405, 011499, 094026,  150.6,   0.08,
1010201403, 011499, 093856,  174.9,   0.04,
1010210008, 011399, -00009,    5.0,   0.14,
1010210007, 011399, -00009,   25.0,   0.14,
1010210006, 011399, -00009,   45.0,   0.14,
1010210005, 011399, -00009,   75.0,   0.14,
1010210004, 011399, -00009,  100.0,   0.12,
1010210003, 011399, -00009,  125.0,   0.09,
1010210002, 011399, -00009,  150.0,   0.05,
1020200422, 021899, 092754,    5.1,   0.07,
1020200421, 021899, 092649,   16.1,   0.08,
1020200417, 021899, 092334,   45.5,   0.12,
1020200416, 021899, 092229,   60.9,   0.16,
1020200415, 021899, 092129,   76.1,   0.24,
1020200414, 021899, 092029,   85.9,   0.26,
1020200413, 021899, 091929,   96.7,   0.27,
1020200412, 021899, 091828,  105.6,   0.25,
1020200411, 021899, 091729,  115.9,   0.25,
1020200410, 021899, 091630,  126.0,   0.20,
1020200409, 021899, 091529,  135.5,   0.17,
1020200408, 021899, 091424,  150.8,   0.12,
1020200406, 021899, 091215,  175.6,   0.04,
1020200510, 021899, 115049,    5.5,   0.09,
1020200509, 021899, 114934,   26.2,   0.09,
1020200508, 021899, 114819,   46.4,   0.16,
1020200507, 021899, 114639,   76.8,   0.24,
1020200506, 021899, 114519,  101.8,   0.24,
1020200505, 021899, 114344,  125.6,   0.21,
1020200504, 021899, 114214,  151.3,   0.07,
1020200503, 021899, 114039,  176.0,   0.02,
1020201223, 021999, 085114,    5.5,   0.09,
1020201220, 021999, 084933,   25.6,   0.10,
1020201219, 021999, 084818,   45.2,   0.12,
1020201213, 021999, 084628,   75.7,   0.21,
1020201211, 021999, 084438,  100.9,   0.27,
1020201209, 021999, 084308,  126.1,   0.23,
1020201207, 021999, 084154,  140.4,   0.14,
1020201205, 021999, 084048,  151.5,   0.11,
1020201203, 021999, 083929,  175.8,   0.04,
1020210008, 021899, -00009,    5.0,   0.09,
1020210007, 021899, -00009,   25.0,   0.11,
1020210006, 021899, -00009,   45.0,   0.12,
1020210005, 021899, -00009,   75.0,   0.27,
1020210004, 021899, -00009,  100.0,   0.24,
1020210003, 021899, -00009,  125.0,   0.11,
1020210002, 021899, -00009,  150.0,   0.09,
1020210001, 021899, -00009,  175.0,   0.01,
1030200622, 031799, 080014,    5.3,   0.08,
1030200621, 031799, 075904,   15.7,   0.09,
1030200619, 031799, 075742,   25.7,   0.09,
1030200618, 031799, 075643,   33.8,   0.09,
1030200617, 031799, 075535,   45.4,   0.10,
1030200616, 031799, 075418,   60.7,   0.11,
1030200615, 031799, 075303,   75.3,   0.14,
1030200614, 031799, 075153,   85.8,   0.16,
1030200613, 031799, 075046,   94.1,   0.20,
1030200612, 031799, 074937,  105.5,   0.28,
1030200611, 031799, 074837,  115.1,   0.31,
1030200610, 031799, 074733,  125.6,   0.24,
1030200609, 031799, 074624,  135.8,   0.23,
1030200608, 031799, 074517,  150.6,   0.12,
1030200606, 031799, 074255,  176.3,   0.06,
1030200705, 031799, 105819,    6.0,   0.10,
1030200704, 031799, 105650,   25.6,   0.09,
1030201420, 031899, 075456,    5.5,   0.10,
1030201417, 031899, 075312,   24.6,   0.10,
1030201415, 031899, 075140,   44.1,   0.12,
1030201413, 031899, 075003,   80.7,   0.16,
1030201411, 031899, 074812,   99.9,   0.19,
1030201409, 031899, 074644,  123.0,   0.26,
1030201407, 031899, 074528,  135.1,   0.28,
1030201405, 031899, 074334,  157.6,   0.17,
1030201404, 031899, 074209,  167.7,   0.13,
1030210008, 031799, -00009,    5.0,   0.09,
1030210007, 031799, -00009,   25.0,   0.10,
1030210006, 031799, -00009,   45.0,   0.20,
1030210005, 031799, -00009,   75.0,   0.18,
1030210004, 031799, -00009,  100.0,   0.27,
1030210003, 031799, -00009,  125.0,   0.14,
1030210002, 031799, -00009,  150.0,   0.10,
1030210001, 031799, -00009,  175.0,   0.05,
1040200822, 041499, 095614,   14.9,   0.11,
1040200819, 041499, 095404,   35.4,   0.12,
1040200818, 041499, 095309,   45.3,   0.14,
1040200817, 041499, 095205,   59.0,   0.15,
1040200816, 041499, 095058,   75.1,   0.16,
1040200815, 041499, 094959,   85.0,   0.18,
1040200814, 041499, 094854,   95.4,   0.19,
1040200813, 041499, 094749,  104.2,   0.21,
1040200812, 041499, 094704,  114.2,   0.28,
1040200811, 041499, 094613,  124.0,   0.26,
1040200810, 041499, 094518,  135.6,   0.26,
1040200809, 041499, 094418,  149.4,   0.25,
1040200808, 041499, 094318,  174.5,   0.14,
1040200807, 041499, 094204,  199.1,   0.08,
1040201123, 041599, 092720,    5.3,   0.10,
1040201120, 041599, 092534,   25.4,   0.11,
1040201115, 041599, 092223,   45.2,   0.14,
1040201114, 041599, 092104,   75.1,   0.16,
1040201113, 041599, 091950,  101.0,   0.25,
1040201112, 041599, 091859,  110.7,   0.30,
1040201109, 041599, 091705,  126.4,   0.28,
1040201107, 041599, 091534,  151.1,   0.19,
1040201105, 041599, 091354,  177.6,   0.09,
1040210008, 041499, -00009,    5.0,   0.11,
1040210007, 041499, -00009,   25.0,   0.12,
1040210006, 041499, -00009,   45.0,   0.13,
1040210005, 041499, -00009,   75.0,   0.16,
1040210004, 041499, -00009,  100.0,   0.18,
1040210003, 041499, -00009,  125.0,   0.27,
1040210002, 041499, -00009,  150.0,   0.23,
1050200622, 051099, 080152,    5.3,   0.08,
1050200619, 051099, 075947,   24.6,   0.08,
1050200618, 051099, 075847,   34.9,   0.09,
1050200617, 051099, 075746,   44.8,   0.09,
1050200616, 051099, 075646,   59.7,   0.11,
1050200615, 051099, 075546,   75.7,   0.15,
1050200614, 051099, 075446,   85.8,   0.17,
1050200613, 051099, 075347,   95.3,   0.23,
1050200612, 051099, 075247,  104.6,   0.29,
1050200611, 051099, 075146,  114.7,   0.28,
1050200610, 051099, 075047,  124.9,   0.22,
1050200609, 051099, 074946,  135.2,   0.15,
1050200608, 051099, 074842,  150.1,   0.07,
1050200606, 051099, 074632,  177.2,   0.02,
1050200604, 051099, 074432,  197.8,   0.01,
1050200814, 051099, 141032,    7.0,   0.09,
1050200812, 051099, 140857,   25.1,   0.10,
1050201415, 051199, 075451,    4.8,   0.09,
1050201414, 051199, 075301,   26.3,   0.09,
1050201411, 051199, 075146,   46.2,   0.10,
1050201410, 051199, 075021,   76.0,   0.15,
1050201408, 051199, 074757,  115.1,   0.31,
1050201407, 051199, 074656,  124.2,   0.26,
1050201406, 051199, 074531,  151.7,   0.10,
1050201403, 051199, 074356,  177.9,   0.03,
1050210008, 051099, -00009,    5.0,   0.09,
1050210007, 051099, -00009,   25.0,   0.09,
1050210006, 051099, -00009,   45.0,   0.10,
1050210005, 051099, -00009,   75.0,   0.14,
1050210004, 051099, -00009,  100.0,   0.10,
1050210003, 051099, -00009,  125.0,   0.10,
1060200622, 071499, 080210,    4.3,   0.08,
1060200621, 071499, 080045,   14.6,   0.08,
1060200619, 071499, 075921,   24.7,   0.07,
1060200618, 071499, 075810,   33.8,   0.08,
1060200617, 071499, 075640,   44.4,   0.10,
1060200616, 071499, 075530,   59.4,   0.14,
1060200615, 071499, 075415,   73.9,   0.18,
1060200614, 071499, 075310,   84.0,   0.22,
1060200613, 071499, 075151,   95.0,   0.28,
1060200612, 071499, 075030,  104.6,   0.29,
1060200611, 071499, 074920,  113.8,   0.30,
1060200610, 071499, 074820,  124.2,   0.18,
1060200609, 071499, 074730,  134.3,   0.15,
1060200608, 071499, 074620,  149.5,   0.15,
1060200606, 071499, 074420,  174.2,   0.12,
1060201519, 071599, 105705,    5.2,   0.08,
1060201517, 071599, 105521,   24.7,   0.08,
1060201515, 071599, 105341,   45.0,   0.08,
1060201513, 071599, 105140,   75.1,   0.17,
1060201511, 071599, 105000,   99.6,   0.28,
1060201509, 071599, 104806,  124.6,   0.23,
1060201506, 071599, 104415,  175.4,   0.09,
1060201505, 071599, 104406,  175.4,   0.10,
1060210008, 071499, -00009,    5.0,   0.08,
1060210007, 071499, -00009,   25.0,   0.08,
1060210006, 071499, -00009,   45.0,   0.09,
1060210005, 071499, -00009,   75.0,   0.17,
1060210003, 071499, -00009,  125.0,   0.23,
1060210002, 071499, -00009,  150.0,   0.15,
1060210001, 071499, -00009,  175.0,   0.12,
1070200922, 081499, 075717,    4.6,   0.09,
1070200921, 081499, 075613,   14.0,   0.10,
1070200919, 081499, 075501,   25.0,   0.10,
1070200918, 081499, 075358,   34.6,   0.09,
1070200917, 081499, 075257,   44.4,   0.10,
1070200916, 081499, 075142,   60.0,   0.16,
1070200915, 081499, 075021,   75.0,   0.21,
1070200914, 081499, 074925,   84.2,   0.20,
1070200913, 081499, 074824,   94.7,   0.23,
1070200912, 081499, 074720,  104.7,   0.50,
1070200911, 081499, 074621,  114.6,   0.36,
1070200910, 081499, 074523,  124.5,   0.19,
1070200909, 081499, 074423,  134.6,   0.14,
1070200908, 081499, 074313,  149.7,   0.08,
1070200906, 081499, 074102,  174.6,   0.04,
1070201721, 081599, 074826,    4.8,   0.09,
1070201718, 081599, 074650,   24.6,   0.10,
1070201717, 081599, 074535,   45.5,   0.10,
1070201716, 081599, 074416,   75.1,   0.18,
1070201715, 081599, 074259,   99.9,   0.29,
1070201713, 081599, 074150,  110.0,   0.49,
1070201712, 081599, 074045,  125.2,   0.26,
1070201710, 081599, 073917,  150.3,   0.06,
1070201708, 081599, 073745,  177.4,   0.03,
1070210008, 081499, -00009,    5.0,   0.10,
1070210007, 081499, -00009,   25.0,   0.09,
1070210006, 081499, -00009,   45.0,   0.13,
1070210005, 081499, -00009,   75.0,   0.19,
1070210004, 081499, -00009,  100.0,   0.23,
1070210003, 081499, -00009,  125.0,   0.08,
1070210002, 081499, -00009,  150.0,   0.03,
1080200622, 101599, 085501,    5.0,   0.07,
1080200621, 101599, 085356,   15.1,   0.07,
1080200619, 101599, 085241,   24.6,   0.07,
1080200618, 101599, 085141,   34.9,   0.07,
1080200617, 101599, 085041,   44.2,   0.07,
1080200616, 101599, 084931,   59.4,   0.09,
1080200615, 101599, 084832,   74.1,   0.11,
1080200614, 101599, 084727,   84.5,   0.12,
1080200612, 101599, 084527,  105.3,   0.21,
1080200611, 101599, 084427,  114.5,   0.24,
1080200610, 101599, 084321,  123.8,   0.23,
1080200609, 101599, 084227,  134.2,   0.21,
1080200608, 101599, 084126,  149.7,   0.10,
1080200606, 101599, 083926,  174.9,   0.03,
1080200604, 101599, 083731,  200.0,   0.03,
1080201418, 101699, 085910,    4.8,   0.07,
1080201416, 101699, 085746,   24.7,   0.07,
1080201414, 101699, 085621,   44.6,   0.08,
1080201412, 101699, 085450,   74.5,   0.10,
1080201410, 101699, 085325,   99.8,   0.20,
1080201408, 101699, 085205,  125.3,   0.23,
1080201406, 101699, 085030,  149.5,   0.10,
1080201404, 101699, 084900,  175.4,   0.04,
1080210008, 101599, -00009,    5.0,   0.08,
1080210007, 101599, -00009,   25.0,   0.07,
1080210006, 101599, -00009,   45.0,   0.09,
1080210005, 101599, -00009,   75.0,   0.14,
1080210004, 101599, -00009,  100.0,   0.23,
1080210003, 101599, -00009,  125.0,   0.11,
1080210002, 101599, -00009,  150.0,   0.06,
1090200622, 110999, 065637,    5.3,   0.09,
1090200621, 110999, 065541,   14.9,   0.08,
1090200619, 110999, 065436,   25.3,   0.09,
1090200618, 110999, 065341,   35.0,   0.09,
1090200617, 110999, 065246,   45.1,   0.09,
1090200616, 110999, 065146,   60.1,   0.13,
1090200615, 110999, 065047,   74.9,   0.19,
1090200614, 110999, 064951,   84.4,   0.22,
1090200613, 110999, 064852,   94.5,   0.26,
1090200612, 110999, 064752,  104.1,   0.13,
1090200611, 110999, 064651,  114.5,   0.10,
1090200610, 110999, 064551,  124.4,   0.07,
1090200609, 110999, 064456,  135.0,   0.05,
1090200608, 110999, 064356,  150.1,   0.03,
1090200606, 110999, 064156,  174.7,   0.01,
1090200604, 110999, 063951,  199.5,   0.01,
1090201410, 111099, 064825,    4.9,   0.09,
1090201409, 111099, 064710,   25.2,   0.09,
1090201408, 111099, 064600,   44.6,   0.09,
1090201407, 111099, 064435,   74.9,   0.10,
1090201406, 111099, 064310,  110.1,   0.23,
1090201405, 111099, 064205,  124.7,   0.12,
1090201404, 111099, 064050,  150.0,   0.05,
1090201403, 111099, 063940,  175.3,   0.02,
1090210008, 110999, -00009,    5.0,   0.11,
1090210007, 110999, -00009,   25.0,   0.10,
1090210006, 110999, -00009,   45.0,   0.09,
1090210005, 110999, -00009,   75.0,   0.14,
1090210004, 110999, -00009,  100.0,   0.15,
1090210003, 110999, -00009,  125.0,   0.15,
1090210002, 110999, -00009,  150.0,   0.08,
1100200621, 121599, 075436,   14.9,   0.12,
1100200619, 121599, 075335,   24.3,   0.12,
1100200618, 121599, 075241,   34.5,   0.12,
1100200617, 121599, 075146,   44.8,   0.12,
1100200616, 121599, 075046,   59.6,   0.15,
1100200615, 121599, 074945,   74.5,   0.18,
1100200614, 121599, 074851,   84.3,   0.25,
1100200613, 121599, 074801,   93.8,   0.25,
1100200612, 121599, 074705,  104.6,   0.28,
1100200611, 121599, 074616,  114.3,   0.20,
1100200610, 121599, 074516,  124.8,   0.14,
1100200609, 121599, 074421,  135.3,   0.06,
1100200608, 121599, 074316,  149.6,   0.02,
1100200606, 121599, 074116,  174.6,   0.01,
1100201417, 121699, 074639,    4.7,   0.10,
1100201415, 121699, 074519,   24.9,   0.10,
1100201413, 121699, 074404,   44.6,   0.12,
1100201411, 121699, 074244,   73.5,   0.16,
1100201409, 121699, 074125,   99.6,   0.26,
1100201407, 121699, 074004,  124.2,   0.13,
1100201405, 121699, 073844,  150.4,   0.06,
1100201403, 121699, 073724,  176.2,   0.00,
1100210008, 121599, -00009,    5.0,   0.12,
1100210007, 121599, -00009,   25.0,   0.11,
1100210006, 121599, -00009,   45.0,   0.13,
1100210005, 121599, -00009,   75.0,   0.16,
1100210004, 121599, -00009,  100.0,   0.22,
1100210003, 121599, -00009,  125.0,   0.12,
1100210002, 121599, -00009,  150.0,   0.03,
1100210001, 121599, -00009,  175.0,   0.04,
1110200622, 020300, 070624,    4.4,   0.06,
1110200621, 020300, 070456,   14.3,   0.06,
1110200619, 020300, 070322,   24.6,   0.06,
1110200618, 020300, 070159,   34.7,   0.06,
1110200616, 020300, 065913,   59.7,   0.12,
1110200615, 020300, 065732,   74.7,   0.15,
1110200614, 020300, 065604,   84.5,   0.18,
1110200613, 020300, 065442,   94.3,   0.22,
1110200612, 020300, 065325,  104.5,   0.25,
1110200611, 020300, 065154,  114.3,   0.28,
1110200610, 020300, 065035,  124.3,   0.21,
1110200609, 020300, 064912,  134.4,   0.11,
1110200608, 020300, 064738,  150.1,   0.05,
1110200606, 020300, 064439,  175.2,   0.02,
1110200905, 020300, 154237,   24.3,   0.09,
1110200904, 020300, 154122,   45.0,   0.12,
1110201423, 020400, 091318,    4.9,   0.07,
1110201421, 020400, 091133,   24.6,   0.07,
1110201420, 020400, 090954,   43.5,   0.08,
1110201419, 020400, 090804,   74.1,   0.12,
1110201418, 020400, 090629,   99.2,   0.22,
1110201417, 020400, 090443,  124.8,   0.20,
1110201415, 020400, 090258,  149.7,   0.03,
1110201413, 020400, 090108,  174.0,   0.01,
1110210008, 020300, -00009,    5.0,   0.07,
1110210007, 020300, -00009,   25.0,   0.08,
1110210006, 020300, -00009,   45.0,   0.09,
1110210005, 020300, -00009,   75.0,   0.13,
1110210004, 020300, -00009,  100.0,   0.16,
1110210003, 020300, -00009,  125.0,   0.14,
1110210002, 020300, -00009,  150.0,   0.06,
1110210001, 020300, -00009,  175.0,   0.02,
1120200722, 030100, 065558,    4.5,   0.07,
1120200721, 030100, 065459,   15.3,   0.07,
1120200719, 030100, 065349,   25.1,   0.03,
1120200718, 030100, 065243,   34.3,   0.08,
1120200717, 030100, 065139,   45.7,   0.09,
1120200716, 030100, 065039,   59.4,   0.12,
1120200715, 030100, 064934,   75.6,   0.14,
1120200714, 030100, 064834,   83.3,   0.18,
1120200713, 030100, 064734,   95.3,   0.25,
1120200712, 030100, 064629,  105.5,   0.19,
1120200711, 030100, 064534,  113.8,   0.17,
1120200710, 030100, 064434,  124.0,   0.13,
1120200709, 030100, 064334,  135.0,   0.08,
1120200708, 030100, 064234,  148.6,   0.05,
1120200706, 030100, 064009,  174.5,   0.02,
1120201007, 030100, 154521,   24.0,   0.08,
1120201005, 030100, 154402,   44.7,   0.08,
1120201513, 030200, 064612,   24.7,   0.08,
1120201512, 030200, 064452,   44.0,   0.10,
1120201510, 030200, 064242,   74.8,   0.11,
1120201508, 030200, 064113,  100.6,   0.18,
1120201507, 030200, 063952,  124.9,   0.18,
1120201506, 030200, 063827,  149.8,   0.04,
1120201504, 030200, 063652,  176.2,   0.01,
1120210008, 030100, -00009,    5.0,   0.08,
1120210007, 030100, -00009,   25.0,   0.08,
1120210006, 030100, -00009,   45.0,   0.08,
1120210005, 030100, -00009,   75.0,   0.13,
1120210004, 030100, -00009,  100.0,   0.21,
1120210003, 030100, -00009,  125.0,   0.18,
1120210002, 030100, -00009,  150.0,   0.05,
1120210001, 030100, -00009,  175.0,   0.02,
1130200622, 032900, 075439,    4.6,   0.08,
1130200621, 032900, 075340,   14.3,   0.07,
1130200619, 032900, 075231,   23.5,   0.07,
1130200618, 032900, 075130,   33.8,   0.07,
1130200617, 032900, 075031,   44.7,   0.07,
1130200616, 032900, 074929,   59.7,   0.07,
1130200615, 032900, 074821,   74.2,   0.09,
1130200614, 032900, 074723,   84.3,   0.11,
1130200613, 032900, 074625,   93.5,   0.13,
1130200612, 032900, 074526,  103.9,   0.15,
1130200611, 032900, 074423,  115.1,   0.18,
1130200610, 032900, 074321,  125.2,   0.20,
1130200609, 032900, 074223,  134.0,   0.24,
1130200608, 032900, 074121,  149.3,   0.12,
1130200606, 032900, 073923,  174.8,   0.05,
1130200806, 032900, 141009,   25.2,   0.07,
1130200805, 032900, 140854,   45.2,   0.08,
1130201417, 033000, 075004,    4.8,   0.09,
1130201415, 033000, 074829,   25.2,   0.08,
1130201413, 033000, 074709,   45.4,   0.09,
1130201411, 033000, 074529,   74.6,   0.10,
1130201409, 033000, 074410,   99.7,   0.15,
1130201407, 033000, 074244,  125.5,   0.22,
1130201405, 033000, 074120,  152.7,   0.14,
1130201403, 033000, 073941,  176.4,   0.06,
1130210008, 032900, -00009,    5.0,   0.07,
1130210007, 032900, -00009,   25.0,   0.07,
1130210006, 032900, -00009,   45.0,   0.07,
1130210005, 032900, -00009,   75.0,   0.10,
1130210004, 032900, -00009,  100.0,   0.14,
1130210003, 032900, -00009,  125.0,   0.23,
1130210002, 032900, -00009,  150.0,   0.09,
1130210001, 032900, -00009,  175.0,   0.05,
1140200622, 042600, 075937,    4.9,   0.07,
1140200621, 042600, 075829,   14.9,   0.03,
1140200619, 042600, 075709,   25.0,   0.07,
1140200618, 042600, 075603,   35.5,   0.07,
1140200617, 042600, 075502,   44.7,   0.08,
1140200616, 042600, 075347,   60.7,   0.08,
1140200615, 042600, 075153,   75.0,   0.11,
1140200614, 042600, 075049,   83.9,   0.13,
1140200613, 042600, 074944,   94.8,   0.18,
1140200612, 042600, 074843,  104.0,   0.20,
1140200611, 042600, 074739,  114.2,   0.26,
1140200610, 042600, 074633,  124.6,   0.21,
1140200609, 042600, 074532,  134.7,   0.15,
1140200608, 042600, 074423,  149.3,   0.12,
1140200606, 042600, 074216,  174.2,   0.07,
1140200805, 042600, 144140,   24.9,   0.07,
1140200804, 042600, 144031,   45.4,   0.08,
1140201422, 042700, 075443,    5.1,   0.07,
1140201420, 042700, 075308,   25.5,   0.07,
1140201418, 042700, 075139,   44.5,   0.07,
1140201411, 042700, 074826,   74.8,   0.13,
1140201409, 042700, 074656,  100.2,   0.24,
